years_forcing,months_forcing,precipforc_1,precipforc_2,tsaforc_1,tsaforc_2
1654,1,0.027644369095702,0.027644369095702,-31.0092399025907,-31.0092399025907
1654,2,0.0288758086562916,0.0288758086562916,-28.2075864815861,-28.2075864815861
1654,3,0.0280069976099746,0.0280069976099746,-20.5533269902023,-20.5533269902023
1654,4,0.0287364179247074,0.0287364179247074,-10.0974140778138,-10.0974140778138
1654,5,0.0271590644265067,0.0271590644265067,0.358498834574581,0.358498834574581
1654,6,0.0269794455211375,0.0269794455211375,8.01275832595839,8.01275832595839
1654,7,0.0271247991767648,0.0271247991767648,10.814411746963,10.814411746963
1654,8,0.0283896203993629,0.0283896203993629,8.0127583259584,8.0127583259584
1654,9,0.0283122408237072,0.0283122408237072,0.35849883457459,0.35849883457459
1654,10,0.0281675051874302,0.0281675051874302,-10.0974140778138,-10.0974140778138
1654,11,0.0285598456534875,0.0285598456534875,-20.5533269902022,-20.5533269902022
1654,12,0.0289670834979762,0.0289670834979762,-28.207586481586,-28.207586481586
1655,1,0.0274323620981596,0.0274323620981596,-31.4650437042316,-31.4650437042316
1655,2,0.0263568998457316,0.0263568998457316,-28.6251936511374,-28.6251936511374
1655,3,0.0254727432069266,0.0254727432069266,-20.8665790202068,-20.8665790202068
1655,4,0.0259251636694726,0.0259251636694726,-10.268114336182,-10.268114336182
1655,5,0.0264857552623714,0.0264857552623714,0.330350347842812,0.330350347842812
1655,6,0.0268285983331698,0.0268285983331698,8.08896497877341,8.08896497877341
1655,7,0.0280267430803576,0.0280267430803576,10.9288150318676,10.9288150318676
1655,8,0.0268505177780961,0.0268505177780961,8.08896497877342,8.08896497877342
1655,9,0.0267637292679173,0.0267637292679173,0.330350347842822,0.330350347842822
1655,10,0.0272234202200886,0.0272234202200886,-10.268114336182,-10.268114336182
1655,11,0.0256618345404118,0.0256618345404118,-20.8665790202068,-20.8665790202068
1655,12,0.0267978651942537,0.0267978651942537,-28.6251936511373,-28.6251936511373
1656,1,0.0276667977689612,0.0276667977689612,-31.7661319798307,-31.7661319798307
1656,2,0.0274589377486742,0.0274589377486742,-28.8677962299375,-28.8677962299375
1656,3,0.0270076019239511,0.0270076019239511,-20.9493957038361,-20.9493957038361
1656,4,0.0257110551778482,0.0257110551778482,-10.1326594278416,-10.1326594278416
1656,5,0.0280306882905848,0.0280306882905848,0.684076848152925,0.684076848152925
1656,6,0.0259377317566685,0.0259377317566685,8.6024773742543,8.6024773742543
1656,7,0.0269643056078179,0.0269643056078179,11.5008131241475,11.5008131241475
1656,8,0.0274846626607952,0.0274846626607952,8.60247737425432,8.60247737425432
1656,9,0.0265826305619828,0.0265826305619828,0.684076848152936,0.684076848152936
1656,10,0.026937876783039,0.026937876783039,-10.1326594278416,-10.1326594278416
1656,11,0.0267979207912163,0.0267979207912163,-20.9493957038361,-20.9493957038361
1656,12,0.0269764443407285,0.0269764443407285,-28.8677962299375,-28.8677962299375
1657,1,0.0293785503818253,0.0293785503818253,-32.0043827237399,-32.0043827237399
1657,2,0.026800853272195,0.026800853272195,-29.1103569106197,-29.1103569106197
1657,3,0.0280229612619723,0.0280229612619723,-21.2037313507597,-21.2037313507597
1657,4,0.0290558672756297,0.0290558672756297,-10.4030799777794,-10.4030799777794
1657,5,0.027907846271271,0.027907846271271,0.397571395200764,0.397571395200764
1657,6,0.0279069997677852,0.0279069997677852,8.30419695506084,8.30419695506084
1657,7,0.0274273458821874,0.0274273458821874,11.198222768181,11.198222768181
1657,8,0.0290917235691845,0.0290917235691845,8.30419695506086,8.30419695506086
1657,9,0.0293436916446827,0.0293436916446827,0.397571395200774,0.397571395200774
1657,10,0.0270287228795366,0.0270287228795366,-10.4030799777794,-10.4030799777794
1657,11,0.0291577824385327,0.0291577824385327,-21.2037313507596,-21.2037313507596
1657,12,0.0274158655807338,0.0274158655807338,-29.1103569106197,-29.1103569106197
1658,1,0.0296250618818654,0.0296250618818654,-31.4148648875792,-31.4148648875792
1658,2,0.029747795966854,0.029747795966854,-28.583317030923,-28.583317030923
1658,3,0.0308628018163869,0.0308628018163869,-20.8473844224755,-20.8473844224755
1658,4,0.0300018138510076,0.0300018138510076,-10.2799039573718,-10.2799039573718
1658,5,0.0289425016711915,0.0289425016711915,0.287576507731947,0.287576507731947
