"atm_del_14C_20,000BP_to_2100_AD_RCP85_RCP45",,
Cal_BP,D14C_RCP85_per_mil,D14C_RCP45_per_mil
12940,206.3,206.3
12930,206.3,206.3
12920,206.6,206.6
12910,207,207
12900,207.3,207.3
12890,207.8,207.8
12880,208.2,208.2
12870,208.2,208.2
12860,207.8,207.8
12850,207.1,207.1
12840,206.1,206.1
12830,204.9,204.9
12820,203.6,203.6
12810,202.3,202.3
12800,201.3,201.3
12790,200.4,200.4
12780,199.9,199.9
12770,199.6,199.6
12760,199.5,199.5
12750,199.7,199.7
12740,199.9,199.9
12730,200,200
12720,200.1,200.1
12710,200.5,200.5
12700,201,201
12690,201.6,201.6
12680,202.6,202.6
12670,203.8,203.8
12660,205.3,205.3
12650,207.2,207.2
12640,208.9,208.9
12630,210.1,210.1
12620,211.4,211.4
12610,213.1,213.1
12600,215.2,215.2
12590,217.7,217.7
12580,220.2,220.2
12570,222.6,222.6
12560,224.8,224.8
12550,226.9,226.9
12540,228.9,228.9
12530,228.8,228.8
12520,231.6,231.6
12510,232.7,232.7
12500,230.4,230.4
12490,228.2,228.2
12480,225.8,225.8
12470,222.9,222.9
12460,219.3,219.3
12450,216.6,216.6
12440,215.8,215.8
12430,217,217
12420,219.5,219.5
12410,221.1,221.1
12400,221.9,221.9
12390,223,223
12380,225.3,225.3
12370,227.3,227.3
12360,226.8,226.8
12350,222.4,222.4
12340,219.8,219.8
12330,218.1,218.1
12320,217.2,217.2
12310,217.7,217.7
12300,216.8,216.8
12290,214.3,214.3
12280,211.8,211.8
12270,209.7,209.7
12260,207.5,207.5
12250,204.8,204.8
12240,201.3,201.3
12230,201,201
12220,203,203
12210,204.2,204.2
12200,203.8,203.8
12190,200.9,200.9
12180,197.6,197.6
12170,196.3,196.3
12160,195.2,195.2
12150,194.8,194.8
12140,195.3,195.3
12130,195.6,195.6
12120,195.5,195.5
12110,195.1,195.1
12100,194.7,194.7
12090,194.7,194.7
12080,195.4,195.4
12070,195.6,195.6
12060,195.5,195.5
12050,195.5,195.5
12040,196,196
12030,196.3,196.3
12020,195.6,195.6
12010,194.2,194.2
12000,193,193
11990,192.8,192.8
11980,194,194
11970,195.6,195.6
11960,197.1,197.1
11950,197.4,197.4
11940,196.3,196.3
11930,194.4,194.4
11920,192.5,192.5
11910,190.8,190.8
11900,189.6,189.6
11890,188,188
11880,186.1,186.1
11870,183.2,183.2
11860,179.3,179.3
11850,176.9,176.9
11840,176.9,176.9
11830,178.3,178.3
11820,179.9,179.9
11810,180.4,180.4
11800,179.6,179.6
11790,178,178
11780,175.8,175.8
11770,174.8,174.8
11760,176.2,176.2
11750,177.9,177.9
11740,177.2,177.2
11730,174.6,174.6
11720,173.6,173.6
11710,173.6,173.6
11700,174.4,174.4
11690,174.9,174.9
11680,173.9,173.9
11670,170,170
11660,167,167
11650,165.9,165.9
11640,166.1,166.1
11630,164.6,164.6
11620,165.1,165.1
11610,166.2,166.2
11600,168,168
11590,168.6,168.6
11580,167,167
11570,165.5,165.5
11560,163.5,163.5
11550,160.6,160.6
11540,158.9,158.9
11530,157.7,157.7
11520,153.7,153.7
11510,151.6,151.6
11500,152.6,152.6
11490,152.7,152.7
11480,150.8,150.8
11470,150.9,150.9
11460,150.1,150.1
11450,147.7,147.7
11440,146,146
11430,143.8,143.8
11420,141.2,141.2
11410,141.1,141.1
11400,143,143
11390,146.1,146.1
11380,145.8,145.8
11370,142,142
11360,141.5,141.5
11350,141.2,141.2
11340,140.4,140.4
11330,139.6,139.6
11320,140.2,140.2
11310,140.5,140.5
11300,139.9,139.9
11290,138.2,138.2
11280,137.3,137.3
11270,137.3,137.3
11260,139.3,139.3
11250,140.1,140.1
11240,143.4,143.4
11230,146,146
11220,147.3,147.3
11210,148.6,148.6
11200,151,151
11195,152.9,152.9
11190,153,153
11185,153.5,153.5
11180,153.9,153.9
11175,155,155
11170,156.3,156.3
11165,156.9,156.9
11160,156.9,156.9
11155,156.5,156.5
11150,155.8,155.8
11145,155.2,155.2
11140,155.1,155.1
11135,155.1,155.1
11130,155,155
11125,155,155
